Category;Project;Repository URL;Description;Homepage;License;Languages;Tags/Topics;Last Update;Latest Release;First Release;
Monitoring;Scaphandre;https://github.com/hubblo-org/scaphandre;Metrology agent dedicated to electrical power consumption metrics;;Apache License 2.0;Rust;greenit, rust, rust-lang, energy, energy-consumption, energy-efficiency, energy-monitor, sustainability, electricity, electricity-consumption, electricity-meter, prometheus, watts, wattmeter, qemu, virtual-machines, carbon-footprint, virtual-machine, measure, hacktoberfest;2023-04-11;2023-01-30;2020-12-08;
Monitoring;WattDepot;https://github.com/wattdepot/wattdepot;Enterprise-level collection, storage, and analysis of energy and related data;http://wattdepot.org/;Other;Java, JavaScript;;2015-10-15;2015-10-15;2013-12-09;
Optimization;DIETER;https://www.diw.de/de/diw_01.c.599753.de/modelle.html;Dispatch and Investment Evaluation Tool with Endogenous Renewables;https://www.diw.de/de/diw_01.c.599753.de/modelle.html;MIT License;GAMS;;;;2015-06-19;
Optimization;MOST;https://github.com/MATPOWER/most;MATPOWER Optimal Scheduling Tool, for steady-state power systems scheduling problems;;BSD 3-Clause "New" or "Revised" License;MATLAB;;2022-12-13;2022-12-13;2016-05-31;
Optimization;NEMO;https://github.com/bje-/NEMO;National Electricity Market Optimiser;;GNU General Public License v3.0;Python;;2023-05-02;2019-03-12;2019-03-12;
Optimization;OnSSET;https://github.com/KTH-dESA/OnSSET-2016;GIS based optimization tool to support electrification planning and decision making or the achievement of energy access goals in currently unserved locations;http://www.onsset.org/;MIT License;Python, Jupyter Notebook;onsset, python;2019-11-25;;;
Optimization;PowerModels.jl;https://github.com/lanl-ansi/PowerModels.jl;Julia/JuMP package for Steady-State Power Network Optimization;https://lanl-ansi.github.io/PowerModels.jl/stable/;BSD 3-Clause "New" or "Revised" License;Julia;optimization, network, power-network, optimal-power-flow;2023-04-24;2023-01-07;2020-01-17;
Optimization;REopt Lite API;https://github.com/NREL/REopt_Lite_API;Recommends an optimal mix of renewable energy, conventional generation, and energy storage technologies to meet cost savings and energy performance goals, including the hourly optimal operation of the system;https://developer.nrel.gov/docs/energy-optimization/reopt-v1/;BSD 3-Clause "New" or "Revised" License;Python, PowerBuilder;nrel, renewable-energy, optimization, reopt-lite-api;2023-05-05;2023-03-30;2021-01-07;
Optimization;Switch;https://github.com/switch-model/switch;Modern Platform for Planning High-Renewable Power Systems;http://switch-model.org/;Apache License 2.0;Python;;2022-11-01;2022-11-01;2017-04-19;
Optimization;Temoa;https://github.com/TemoaProject/temoa;Tools for Energy Model Optimization and Analysis;https://temoacloud.com/;GNU General Public License v2.0;Python;;2022-11-06;2022-11-06;2018-01-09;
Optimization;dhmin;https://github.com/tum-ens/dhmin;Mathematical optimisation model for district energy distrubtion networks;;GNU General Public License v3.0;Python;;2017-09-27;;;
Optimization;ficus;https://github.com/tum-ewk/ficus;(Mixed integer) linear programming optimization model for capacity expansion planning and unit commitment for local energy systems;;GNU General Public License v3.0;Python;;2018-01-31;2015-09-10;2015-09-10;
Optimization;minpower;https://github.com/adamgreenhall/minpower;Toolkit for students and researchers in power systems;http://adamgreenhall.github.io/minpower/index.html;MIT License;Python;;2021-07-22;2021-07-21;2013-01-04;
Optimization;rivus;https://github.com/tum-ens/rivus;Mixed integer linear optimisation model for energy infrastructure networks;;GNU General Public License v3.0;Python;;2017-10-11;;;
Optimization;stELMOD;https://github.com/frkunz/stELMOD;Stochastic optimization model to analyze the impact of uncertain wind generation on the dayahead and intraday electricity markets as well as network congestion management;;MIT License;GAMS;;2017-07-24;2016-03-08;2016-03-08;
Optimization;urbs;https://github.com/tum-ens/urbs;Linear optimisation model for distributed energy systems;;GNU General Public License v3.0;Python, Jupyter Notebook;python, pyomo, pandas, optimisation-model, mathematical-modelling, linear-programming, energy-system;2022-02-07;2019-06-06;2014-12-05;
Other;3D-PV-Locator;https://github.com/kdmayer/3D-PV-Locator;Large-scale detection of rooftop-mounted photovoltaic systems in 3D;;MIT License;Python;neurips-2020, solar, renewable-energy, pv-systems, deepsolar, computer-vision, inception-v3, deeplabv3, network-planning, solar-panels, climate-change, ai, deep-learning, remote-sensing, satellite-imagery;2022-07-22;;;
Other;3d_milp;https://github.com/ElektrikAkar/3d_milp;Energy Arbitrage Optimization With Battery Storage.;;BSD 3-Clause License;MATLAB;;2022-07-22;;;
Other;A Global Inventory of Commerical-, Industrial-, and Utility-Scale Photovoltaic Solar Generating Units;https://github.com/Lkruitwagen/solar-pv-global-inventory;Used to produce a global inventory of utility-scale solar photvoltaic generating station.;;MIT License;Jupyter Notebook;;2021-11-25;2021-06-30;2021-06-30;
Other;ANDES;https://github.com/cuihantao/andes;Power system transient dynamics simulation with symbolic modeling and numerical analysis.;;GNU General Public License v3.0;Python;;2023-02-13;2023-02-13;2021-11-14;
Other;ANYstructure;https://github.com/audunarn/ANYstructure;Offshore Steel structure calculation tool with automatic optimization and report generation.;;MIT License;Python;dnvgl-os-c101, design-of-offshore-steel-structures, buckling, fatigue-analysis, analysis-framework, plate-thickness, beam-section, gui-based, dnvgl-rp-c201, optimization-tools, structural-engineering, naval-architecture, dnvgl-rp-c203, cylinders, plates, girder, dnv-os-c101;2023-04-11;2023-04-11;2020-06-05;
Other;APIS;https://github.com/SonyCSL/APIS;Build a microgrid that utilizes variable renewable energy as the main power source and enhances the resilience of the power system.;;Apache License 2.0;Makefile, Shell;;2021-01-27;;;
Other;AirfoilPreppy;https://github.com/WISDEM/AirfoilPreppy;A Python module for pre-processing and evaluating aerodynamic airfoil data, primarily for wind turbine applications.;;Apache License 2.0;Python;;2020-06-11;2015-07-07;2015-07-07;
Other;AixLib;https://github.com/RWTH-EBC/AixLib;A Modelica model library for building performance simulations.;;BSD 3-Clause "New" or "Revised" License;Modelica;hacktoberfest;2023-03-15;2023-02-09;2014-07-10;
Other;Ampere;https://github.com/nealde/Ampere;Advanced Model Package for ElectRochemical Experiments.;;MIT License;Jupyter Notebook, C;;2021-04-22;;;
Other;Antares Simulator;https://github.com/AntaresSimulatorTeam/Antares_Simulator;An Open Source power system simulator to quantify the adequacy or the economic performance of interconnected energy systems, at short or remote time horizons.;;GNU General Public License v2.0 or later;C, C++;adequacy, simulation, power-systems;2023-05-05;2023-03-29;2021-12-16;
Other;AnyMOD.jl;https://github.com/leonardgoeke/AnyMOD.jl;Creating large scale energy system models with multiple periods of capacity expansion formulated as linear optimization problems.;;MIT License;Julia;capacity-expansion-planning, energy, julia, linear-programming, optimization;2022-10-14;2022-12-09;2020-07-13;
Other;Atlite;https://github.com/PyPSA/atlite;Light-weight version of Aarhus RE Atlas for converting weather data to power systems data;;GNU General Public License v3.0 or later;Python;python, energy, energy-system, energy-systems, wind, pv, era5, renewable-timeseries, renewable-energy, potentials, gis, reanalysis, solar, csp, heat-pump, dynamic-line-rating;2023-05-05;2023-05-02;2019-06-18;
Other;BEAM;https://github.com/LBNL-UCB-STI/beam;The Framework for Modeling Behavior, Energy, Autonomy, and Mobility in Transportation Systems.;;BSD 3-Clause License;Jupyter Notebook, Scala;;2023-05-03;2019-10-30;2018-10-25;
Other;BEMRosetta;https://github.com/BEMRosetta/BEMRosetta;Used to model hydrodynamic forces in offshore devices like ships, offshore wind platforms and wave energy converters.;;GNU General Public License v3.0;C++;hydrodynamics, meshviewer, mesh-processing, potential-flow, offshore-wind-platforms, hydrodynamic-coefficients-viewer, boundary-element, wave-energy;2023-05-03;;;
Other;BEMServer;https://github.com/HIT2GAP-EU-PROJECT/bemserver;An open source Python server to deploy energy management solutions for buildings.;;GNU Affero General Public License v3.0;Python;;2022-10-27;2019-08-20;2019-08-20;
Other;BESOS;https://gitlab.com/energyincities/besos;A collection of modules for the simulation and optimization of buildings and urban energy systems.;;GNU General Public License v3.0 or later;Python;;2022-12-02;2022-11-07;2019-06-20;
Other;BETTER;https://github.com/LBNL-JCI-ICF/better;Building Efficiency Targeting Tool for Energy Retrofits.;;BSD 3-Clause "New" or "Revised" License;Python;;2021-08-25;2019-01-19;2019-01-04;
Other;Backbone;https://gitlab.vtt.fi/backbone/backbone;A generic energy network optimization tool written in GAMS.;;GNU General Public License v3.0 or later;GAMS;;2022-12-21;2022-12-21;2020-11-28;
Other;BasicDTUController;https://gitlab.windenergy.dtu.dk/OpenLAC/BasicDTUController;The scope of this project is to provide an open source, open access controller that can be used by the wind energy community as a reference.;;GNU General Public License v3.0;Fortran Free Form;;2023-02-24;2021-05-25;2019-03-06;
Other;BayesProcess;https://github.com/PV-Lab/BayesProcess;A Python package for Physics informed Bayesian network inference using neural network surrogate model for matching process / variable / performance in solar cells.;;MIT License;Jupyter Notebook;;2021-08-18;;;
Other;Brick;https://github.com/BrickSchema/Brick;An open-source effort to standardize semantic descriptions of the physical, logical and virtual assets in buildings and the relationships between them.;;BSD 3-Clause License;Python;;2023-04-25;2023-04-25;2017-01-31;
Other;BuildSysPro;https://github.com/EDF-TREE/BuildSysPro;EDF's Modelica library for buildings, districts and energy systems modeling.;;BSD 3-Clause License;Modelica, Motoko;;2023-03-08;2022-02-16;2016-02-16;
Other;BuildingSystems;https://github.com/UdK-VPT/BuildingSystems;The Modelica open source BuildingSystems library is developed for dynamic simulation of the energetic behavior of single rooms, buildings and whole districts.;;BSD 3-Clause "New" or "Revised" License;Modelica, Motoko;modelica, building, energy, simulation;2022-05-19;2017-05-16;2017-04-10;
Other;CACTUS;https://github.com/SNL-WaterPower/CACTUS;A turbine performance simulation code, based on a free wake vortex method, to study wind turbines and marine hydrokinetic devices.;;BSD 3-Clause "New" or "Revised" License;Fortran;;2021-07-19;2013-12-05;2011-01-12;
Other;CBE Clima Tool;https://github.com/CenterForTheBuiltEnvironment/clima;A web-based application built to support the need of architects and engineers interested in climate-adapted design.;;MIT License;Python;clima, epw, epw-files, climate-analysis, building-design, python;2023-05-05;;;
Other;CIMpy;https://git.rwth-aachen.de/acs/public/cim/cimpy;Import / export CIM IEC-61970 files in the XML/RDF format;;Mozilla Public License 2.0;Python;;2020-12-09;2020-09-25;2020-06-30;
Other;CIMverter;https://github.com/cim-iec/CIMverter;Tool for converting power grid topology files based on CIM-XML-RDF into Modelica system models;;GNU General Public License v3.0;C++;cim, iec61970;2021-02-11;2017-06-08;2017-01-31;
Other;CapacityExpansion.jl;https://github.com/YoungFaithful/CapacityExpansion.jl;Future energy system planning (Generation and Transmission Capacity Expansion Planning) in Julia.;;MIT License;Julia;capacity-expansion-planning, energy, energy-optimization-model, julia, jump, clustering, california, germany;2021-04-27;2020-09-30;2019-04-05;
Other;Capytaine;https://github.com/mancellin/capytaine;A Python package for the simulation of the interaction between water waves and floating bodies in frequency domain.;;GNU General Public License v3.0;Python;python, fortran, hydrodynamics, potential-flow, boundary-element-method, water-wave, wave-energy;2023-05-05;2022-12-13;2018-01-19;
Other;CarrierCapture.jl;https://github.com/WMD-group/CarrierCapture.jl;A set of codes to compute carrier capture and recombination rates in semiconducting compounds like solar cells.;;MIT License;Jupyter Notebook;defects, semiconductors, electronic-structure, materials-design, solar-cells;2023-03-03;2023-03-03;2019-04-02;
Other;Charge Controller Firmware;https://github.com/LibreSolar/charge-controller-firmware;Firmware for LibreSolar MPPT/PWM charge controllers.;;Apache License 2.0;C++, C;;2023-01-20;2021-04-14;2019-12-20;
Other;City Energy Analyst;https://github.com/architecture-building-systems/CityEnergyAnalyst;Helps you to analyze the effects of building retrofits, land-use planning, district heating and cooling and renewable energy on the future costs, emissions and energy consumption of neighborhoods and districts.;;MIT License;Python;;2023-05-06;2022-11-13;2020-02-19;
Other;CityLearn;https://github.com/intelligent-environments-lab/CityLearn;Official reinforcement learning environment for demand response and load shaping.;;MIT License;Python;;2023-04-19;2023-04-06;2021-11-16;
Other;CoMPAS;https://github.com/com-pas/compas-core;Open source software components related to IEC 61850 model implementation (profile management) and configuration;https://www.lfenergy.org/projects/compas/;Apache License 2.0;Java;iec61850;2023-04-26;2023-04-17;2021-07-12;
Other;DHNx;https://github.com/oemof/DHNx;This package provides an open toolbox for district heating and cooling network optimization and simulation models.;;MIT License;Python;;2023-04-20;2023-04-19;2020-10-28;
Other;Digital Twins Definition Language ontology for Energy Grid;https://github.com/Azure/opendigitaltwins-energygrid;A global standard for energy grid assets management, power system operations modeling and physical energy commodity market.;;MIT License;;;2021-06-11;;;
Other;Digital WRA Data Standards;https://github.com/IEA-Task-43/digital_wra_data_standard;IEA Task 43: pre-construction energy estimate data standard repository;;BSD 3-Clause License;Jupyter Notebook;;2023-01-27;2023-01-27;2021-01-14;
Other;Dispa-SET;https://github.com/energy-modelling-toolkit/Dispa-SET;Unit-commitment and optimal dispatch model, developed at the JRC;;European Union Public License 1.2;Python, Jupyter Notebook;python, dispatch, power;2023-03-14;2022-10-05;2016-02-08;
Other;EIA;https://github.com/ropensci/eia;An R package wrapping the US Energy Information Administration open data API.;;MIT License;R;eia-api, r-package, energy-data, energy-information-administration, open-data, eia, cran;2021-02-20;2021-02-20;2019-07-22;
Other;ESDL;https://github.com/EnergyTransition/ESDL;A modelling language created for the components in an energy system and their relations towards each other.;;Apache License 2.0;Shell;esdl, energy, energy-transition, energy-transition-calculation, dsl, description-language, language, energy-information, interoperability;2023-04-05;2019-05-03;2018-06-22;
Other;ESIOS;https://github.com/SanPen/ESIOS;Comprehensive library to access the Spanish electricity market entity in Python.;;GNU General Public License v3.0;Python;;2023-02-22;;;
Other;Egret;https://github.com/grid-parity-exchange/Egret;A Python-based package for electrical grid optimization based on the Pyomo optimization modeling language.;;BSD 3-Clause "New" or "Revised" License;Python;snl-applications, snl-science-libs, optimization, python, power, milp, nlp, minlp, energy-system, powerflow;2023-04-17;2023-04-03;2021-04-07;
Other;ElexonDataPortal;https://github.com/OSUKED/ElexonDataPortal;Wrapper for the Balancing Mechanism Reporting Service API to balance power flowing on to and off from the electricity Transmission System in Great Britain.;;MIT License;Jupyter Notebook;;2023-04-01;2022-05-31;2020-10-25;
Other;EmonLib;https://github.com/openenergymonitor/EmonLib;Arduino Energy Monitoring Library.;;GNU Affero General Public License v3.0;C++;;2019-05-31;2016-10-18;2015-01-05;
Other;Emoncms;https://github.com/emoncms/emoncms;A powerful open source web application for processing, logging and visualizing energy, temperature and other environmental data.;;GNU Affero General Public License v3.0;PHP, JavaScript;emoncms, php, openenergymonitor, energy-monitor, dashboards, sustainability;2023-04-06;2023-01-18;2013-04-10;
Other;Energy Policy Simulator;https://github.com/Energy-Innovation/eps-us;The open-source United States Energy Policy Simulator estimates environmental and economic impacts of hundreds of climate and energy policies.;;GNU General Public License v3.0;Python;;2023-05-02;2023-02-02;2019-10-19;
Other;Energy Transition Engine;https://github.com/quintel/etengine;Calculation engine for the Energy Transition Model.;;MIT License;Ruby, JavaScript;;2023-05-03;;;
Other;EnergyPlus;https://github.com/NREL/EnergyPlus;A whole building energy simulation program that engineers, architects, and researchers use to model both energy consumption and water usage in buildings.;;BSD 3-Clause Modified License;C++;;2023-05-06;2023-03-28;2022-03-29;
Other;Euro-Calliope;https://github.com/calliope-project/euro-calliope;A model of the European electricity system built using Calliope.;;MIT License;Python;calliope-models, conda, europe, research, energy, renewable-energy;2023-01-05;2021-12-23;2020-07-17;
Other;FEHM;https://github.com/lanl/FEHM;Has proved to be a valuable asset on a variety of projects of national interest including Environmental Remediation of the Nevada Test Site, the LANL Groundwater Protection Program, geologic CO2 sequestration, Enhanced Geothermal Energy programs, Oil and Gas production, Nuclear Waste Isolation, and Arctic Permafrost.;;BSD 3-Clause License;Fortran, GLSL;porous-flow, simulation-modeling, reactive-chemistry, coupled-heat-mass, multiphase-transport, groundwater-modelling, carbon-storage, soil-vapor, earth-science, carbon-sequestration, subsurface-remediation, nuclear-waste-repositories, subsurface-hydrology, geothermal-energy;2021-12-14;2020-02-06;2017-12-15;
Other;FlexMeasures;https://github.com/SeitaBV/flexmeasures;A platform for building energy flexibility services with forecasting and scheduling, written in Python & offering a USEF-conform API.;;Apache License 2.0;Python;energy, energy-data, energy-flexibility, backend, machine-learning;2023-05-08;2023-05-01;2021-05-01;
Other;FlexiGIS;https://github.com/FlexiGIS/FlexiGIS;Extracts, filters and categorizes the geo-referenced urban energy infrastructure and allocates the required decentralized storage in urban settings.;;BSD 3-Clause "New" or "Revised" License;Python;;2023-02-22;2020-07-22;2020-07-22;
Other;Frictionless Energy data;https://sentinel-energy.github.io/friendly_data/;Common medium to facilitate the flow of data between energy and environmental models in a way that can be automated.;;Apache License 2.0;;;;;;
Other;GLAES;https://github.com/FZJ-IEK3-VSA/glaes;Geospatial Land Availability for Energy Systems;;MIT License;Python;geospatial, geospatial-analysis, renewable-energy, energy, python;2023-01-18;2021-08-12;2017-12-20;
Other;GSF;https://github.com/GridProtectionAlliance/gsf;Extensive collection of .NET code with a focus on tools and protocol parser that are useful for the electric power industry;https://www.gridprotectionalliance.org/technology.asp#GSF;MIT License;C#;time-series, synchrophasor, libraries, electric, communications, gsf, comtrade, ieee-c37118, ieee-1344, macrodyne, pqdif, osi-pi, complex-event-processing, stream-processing, streaming-data, stream-processing-engine, pmu, phasor-measurement-unit;2023-04-30;;;
Other;GasModels.jl;https://github.com/lanl-ansi/GasModels.jl;A Julia/JuMP Package for Gas Network Optimization.;;BSD 3-Clause License;Julia;gas-network-formulations, optimization, gas-flow, network;2022-11-22;2022-07-25;2017-09-11;
Other;GenX;https://github.com/GenXProject/GenX;A highly-configurable, open source electricity resource capacity expansion model that incorporates several state-of-the-art practices in electricity system planning to offer improved decision support for a changing electricity landscape.;;GNU General Public License v2.0;Julia;;2023-04-27;2023-04-27;2021-08-09;
Other;GeoThermalCloud.jl;https://github.com/SmartTensors/GeoThermalCloud.jl;A repository containing all the data and codes required to demonstrate applications of machine learning methods for geothermal exploration.;;GNU General Public License v3.0;Jupyter Notebook, HTML;julia, geothermal, machine-learning, unsupervised-machine-learning;2023-03-28;2022-12-02;2021-03-30;
Other;GlobalEnergyGIS;https://github.com/niclasmattsson/GlobalEnergyGIS;Generates input data for energy models on renewable energy in arbitrary world regions using public datasets.;;MIT License;Julia;;2023-04-28;;;
Other;GreenGuard;https://github.com/signals-dev/GreenGuard;A collection of end-to-end solutions for machine learning problems commonly found in monitoring wind energy production system.;;MIT License;Jupyter Notebook, Python;classification, machine-learning, time-series;2023-04-23;2022-04-12;2022-01-01;
Other;Grid Singularity Energy Exchange Engine (D3A);https://github.com/gridsingularity/gsy-e;An interface to download and deploy interconnected, grid-aware energy marketplaces.;;GNU General Public License v3.0;Python;;2023-04-28;2022-03-23;2020-03-11;
Other;Grid2Op;https://github.com/rte-france/Grid2Op;A testbed platform to model sequential decision making in power systems.;;Mozilla Public License 2.0;Python;grid2op, reinforcement-learning, reinforcement-learning-environments, powergrid, powergrid-operation, gym-environments;2023-01-11;2023-01-11;2020-05-26;
Other;GridCal;https://github.com/SanPen/GridCal;Aims to be a complete platform for power systems research and simulation.;;GNU Lesser General Public License v3.0;Python;python, powerflow, electrical-engineering, electrical, helm, newton-raphson, latin-hypercube, monte-carlo-simulation, cim, comon-information-model, stochastic-power-flow, multi-terminal, acdc, optimization, power-systems;2023-04-26;2023-04-22;2016-03-04;
Other;GridLAB-D;https://github.com/slacgismo/gridlabd;A distribution level power system simulator designed to allow users to create and analyze smart grid technologies.;;GNU General Public License v3.0;C++, Python, HTML;power-systems-analysis, power-systems, smartgrid, power-simulator, grid-simulation, transactive-energy;2022-12-23;2022-04-08;2016-10-08;
Other;GridPath;https://github.com/blue-marble/gridpath;A versatile simulation and optimization platform for power-system planning and operations.;;Apache License 2.0;Python;energy, electricity, power, renewables, renewable-energy, planning, power-systems, power-system-simulation, power-system-analysis, optimization;2023-01-24;2023-01-24;2020-05-02;
Other;Gym Electric Motor;https://github.com/upb-lea/gym-electric-motor;An OpenAI Gym Environment for Electric Motors.;;MIT License;Python;reinforcement-learning, openai-gym-environments, machinelearning, openai-gym, openai, gym-environment, pmsm, motor-models, converters, benchmark, electrical-engineering, electric-drive;2022-12-20;2022-06-15;2020-04-24;
Other;Gym-ANM;https://github.com/robinhenry/gym-anm;Design Reinforcement Learning environments that model Active Network Management tasks in electricity distribution networks.;;MIT License;Python;reinforcement-learning, electricity-networks, gym-environments;2023-04-14;2023-04-14;2021-10-22;
Other;HAMS;https://github.com/YingyiLiu/HAMS;An open-source computer program for the analysis of wave diffraction and radiation of three-dimensional floating or submerged structures.;;Apache License 2.0;Roff;wave-structure-interaction, boundary-element-method, potential-flow-theory, offshore-wind-platforms, ocean-wave-energy-converters;2023-05-01;;;
