package_name,ecosystem,cve_id,severity,cvss_score,description,published_date,affected_projects
requests,pypi,GHSA-652x-xj99-gmcc,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,Exposure of Sensitive Information to an Unauthorized Actor in Requests,2022-05-14T02:09:22Z,42
requests,pypi,GHSA-cfj3-7x9c-4p3h,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Exposure of Sensitive Information to an Unauthorized Actor in Requests,2022-05-17T03:49:35Z,42
requests,pypi,GHSA-x84v-xcm2-53pg,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Insufficiently Protected Credentials in Requests,2018-10-29T19:06:46Z,42
requests,pypi,GHSA-9hjg-9r4m-mvj7,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N,Requests vulnerable to .netrc credentials leak via malicious URLs,2025-06-09T19:06:08Z,42
requests,pypi,GHSA-j8r2-6x86-q33q,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:N/A:N,Unintended leak of Proxy-Authorization header in requests,2023-05-22T20:36:32Z,42
requests,pypi,GHSA-9wx4-h78v-vm56,CVSS_V3,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:H/I:H/A:N,Requests `Session` object does not verify requests after making first request with verify=False,2024-05-20T20:15:00Z,42
requests,pypi,GHSA-pg2w-x9wp-vw92,UNKNOWN,,Python Requests Session Fixation,2022-05-13T01:11:23Z,42
requests,pypi,PYSEC-2014-13,UNKNOWN,,Requests (aka python-requests) before 2.3.0 allows remote servers to obtain a netrc password by reading the Authorization header in a redirected request.,2014-10-15T14:55:00Z,42
requests,pypi,PYSEC-2014-14,UNKNOWN,,Requests (aka python-requests) before 2.3.0 allows remote servers to obtain sensitive information by reading the Proxy-Authorization header in a redirected request.,2014-10-15T14:55:00Z,42
requests,pypi,PYSEC-2015-17,UNKNOWN,,The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.,2015-03-18T16:59:00Z,42
requests,pypi,PYSEC-2018-28,UNKNOWN,,"The Requests package before 2.20.0 for Python sends an HTTP Authorization header to an http URI upon receiving a same-hostname https-to-http redirect, which makes it easier for remote attackers to discover credentials by sniffing the network.",2018-10-09T17:29:00Z,42
requests,pypi,PYSEC-2023-74,UNKNOWN,,"Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use `rebuild_proxies` to reattach the `Proxy-Authorization` header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the `Proxy-Authorization` header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

",2023-05-26T18:15:00Z,42
openpyxl,pypi,GHSA-chqf-hx79-gxc6,CVSS_V3,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:H,Improper Restriction of XML External Entity Reference in Openpyxl,2022-05-17T02:58:54Z,27
openpyxl,pypi,PYSEC-2017-48,UNKNOWN,,"Openpyxl 2.4.1 resolves external entities by default, which allows remote attackers to conduct XXE attacks via a crafted .xlsx document.",2017-02-15T19:59:00Z,27
pyyaml,pypi,GHSA-3pqx-4fqf-j49f,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Deserialization of Untrusted Data in PyYAML,2021-04-20T16:40:42Z,25
pyyaml,pypi,GHSA-6757-jp84-gxfx,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Improper Input Validation in PyYAML,2021-04-20T16:14:24Z,25
pyyaml,pypi,GHSA-8q59-q68h-6hv4,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Improper Input Validation in PyYAML,2021-03-25T21:26:26Z,25
pyyaml,pypi,GHSA-rprw-h62v-c2w7,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,PyYAML insecurely deserializes YAML strings leading to arbitrary code execution,2019-01-04T17:45:26Z,25
pyyaml,pypi,PYSEC-2018-49,UNKNOWN,,"In PyYAML before 5.1, the yaml.load() API could execute arbitrary code if used with untrusted data. The load() function has been deprecated in version 5.1 and the 'UnsafeLoader' has been introduced for backward compatibility with the function.",2018-06-27T12:29:00Z,25
pyyaml,pypi,PYSEC-2020-176,UNKNOWN,,"PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class deserialization issue, e.g., Popen is a class in the subprocess module. NOTE: this issue exists because of an incomplete fix for CVE-2017-18342.",2020-02-19T04:15:00Z,25
pyyaml,pypi,PYSEC-2020-96,UNKNOWN,,"A vulnerability was discovered in the PyYAML library in versions before 5.3.1, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. An attacker could use this flaw to execute arbitrary code on the system by abusing the python/object/new constructor.",2020-03-24T15:15:00Z,25
pyyaml,pypi,PYSEC-2021-142,UNKNOWN,,"A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by abusing the python/object/new constructor. This flaw is due to an incomplete fix for CVE-2020-1747.",2021-02-09T21:15:00Z,25
tqdm,pypi,GHSA-g7vv-2v7x-gj9p,CVSS_V3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:N,tqdm CLI arguments injection attack,2024-05-03T19:33:28Z,23
tqdm,pypi,GHSA-r7q7-xcjw-qx8q,CVSS_V3,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,TDQM Arbitrary Code Execution,2022-05-14T02:19:48Z,23
tqdm,pypi,PYSEC-2017-74,UNKNOWN,,The tqdm._version module in tqdm versions 4.4.1 and 4.10 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.,2017-01-19T20:59:00Z,23
scikit-learn,pypi,GHSA-jxfp-4rvq-9h9m,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,scikit-learn Denial of Service,2022-05-24T17:34:40Z,20
scikit-learn,pypi,GHSA-jjw5-xxj6-pcv5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,scikit-learn Deserialization of Untrusted Data,2022-05-24T17:17:59Z,20
scikit-learn,pypi,PYSEC-2024-110,CVSS_V3,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,"A sensitive data leakage vulnerability was identified in scikit-learn's TfidfVectorizer, specifically in versions up to and including 1.4.1.post1, which was fixed in version 1.5.0. The vulnerability arises from the unexpected storage of all tokens present in the training data within the `stop_words_` attribute, rather than only storing the subset of tokens required for the TF-IDF technique to function. This behavior leads to the potential leakage of sensitive information, as the `stop_words_` attribute could contain tokens that were meant to be discarded and not stored, such as passwords or keys. The impact of this vulnerability varies based on the nature of the data being processed by the vectorizer.",2024-06-06T19:16:00Z,20
scikit-learn,pypi,GHSA-jw8x-6495-233v,CVSS_V3,CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,scikit-learn sensitive data leakage vulnerability,2024-06-06T21:30:37Z,20
scikit-learn,pypi,PYSEC-2020-107,UNKNOWN,,"** DISPUTED ** scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the joblib.load() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner.",2020-05-15T19:15:00Z,20
scikit-learn,pypi,PYSEC-2020-108,UNKNOWN,,"** DISPUTED ** svm_predict_values in svm.cpp in Libsvm v324, as used in scikit-learn 0.23.2 and other products, allows attackers to cause a denial of service (segmentation fault) via a crafted model SVM (introduced via pickle, json, or any other model permanence standard) with a large value in the _n_support array. NOTE: the scikit-learn vendor's position is that the behavior can only occur if the library's API is violated by an application that changes a private attribute.",2020-11-21T21:15:00Z,20
urllib3,pypi,GHSA-gwvm-45gx-3cf8,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Authorization Header forwarded on redirect,2023-10-15T21:30:26Z,15
urllib3,pypi,PYSEC-2023-207,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"urllib3 before 1.24.2 does not remove the authorization HTTP header when following a cross-origin redirect (i.e., a redirect that differs in host, port, or scheme). This can allow for credentials in the authorization header to be exposed to unintended hosts or transmitted in cleartext. NOTE: this issue exists because of an incomplete fix for CVE-2018-20060 (which was case-sensitive).",2023-10-15T19:15:00Z,15
black,pypi,GHSA-fj7x-q9j7-g6q6,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,Black vulnerable to Regular Expression Denial of Service (ReDoS),2024-03-19T06:30:52Z,15
urllib3,pypi,GHSA-hmv2-79q8-fv6g,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Uncontrolled Resource Consumption in urllib3,2021-04-30T17:31:43Z,15
urllib3,pypi,GHSA-q2q7-5pp4-w6pg,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Catastrophic backtracking in URL authority parser when passed URL containing many @ characters,2021-06-01T21:19:32Z,15
urllib3,pypi,GHSA-5phf-pp7p-vc2r,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,Using default SSLContext for HTTPS requests in an HTTPS proxy doesn't verify certificate hostname for proxy connection,2021-03-19T19:42:11Z,15
urllib3,pypi,GHSA-wqvq-5m8c-6g24,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,CRLF injection in urllib3,2021-06-18T18:46:43Z,15
urllib3,pypi,PYSEC-2023-192,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,"urllib3 is a user-friendly HTTP client library for Python. urllib3 doesn't treat the `Cookie` HTTP header special or provide any helpers for managing cookies over HTTP, that is the responsibility of the user. However, it is possible for a user to specify a `Cookie` header and unknowingly leak information via HTTP redirects to a different origin if that user doesn't disable redirects explicitly. This issue has been patched in urllib3 version 1.26.17 or 2.0.5.",2023-10-04T17:15:00Z,15
urllib3,pypi,GHSA-48p4-8xcf-vxj5,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,urllib3 does not control redirects in browsers and Node.js,2025-06-18T17:50:11Z,15
urllib3,pypi,GHSA-pq67-6m6q-mj2v,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,urllib3 redirects are not disabled when retries are disabled on PoolManager instantiation,2025-06-18T17:50:00Z,15
urllib3,pypi,GHSA-34jh-p97f-mpxf,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,urllib3's Proxy-Authorization request header isn't stripped during cross-origin redirects,2024-06-17T21:37:20Z,15
urllib3,pypi,GHSA-v845-jxx5-vc9f,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:N,`Cookie` HTTP header isn't stripped on cross-origin redirects,2023-10-02T23:27:05Z,15
urllib3,pypi,GHSA-g4mx-q9vg-27p4,CVSS_V3,CVSS:3.1/AV:A/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,urllib3's request body not stripped after redirect from 303 status changes request method to GET,2023-10-17T20:15:25Z,15
urllib3,pypi,PYSEC-2023-212,CVSS_V3,CVSS:3.1/AV:A/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,"urllib3 is a user-friendly HTTP client library for Python. urllib3 previously wouldn't remove the HTTP request body when an HTTP redirect response using status 301, 302, or 303 after the request had its method changed from one that could accept a request body (like `POST`) to `GET` as is required by HTTP RFCs. Although this behavior is not specified in the section for redirects, it can be inferred by piecing together information from different sections and we have observed the behavior in other major HTTP client implementations like curl and web browsers. Because the vulnerability requires a previously trusted service to become compromised in order to have an impact on confidentiality we believe the exploitability of this vulnerability is low. Additionally, many users aren't putting sensitive data in HTTP request bodies, if this is the case then this vulnerability isn't exploitable. Both of the following conditions must be true to be affected by this vulnerability: 1. Using urllib3 and submitting sensitive information in the HTTP request body (such as form data or JSON) and 2. The origin service is compromised and starts redirecting using 301, 302, or 303 to a malicious peer or the redirected-to service becomes compromised. This issue has been addressed in versions 1.26.18 and 2.0.7 and users are advised to update to resolve this issue. Users unable to update should disable redirects for services that aren't expecting to respond with redirects with `redirects=False` and disable automatic redirects with `redirects=False` and handle 301, 302, and 303 redirects manually by stripping the HTTP request body.
",2023-10-17T20:15:00Z,15
urllib3,pypi,GHSA-r64q-w8jr-g9qp,CVSS_V3,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Improper Neutralization of CRLF Sequences in urllib3 library for Python,2022-05-13T01:09:23Z,15
urllib3,pypi,GHSA-mh33-7rrq-662w,CVSS_V3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,Improper Certificate Validation in urllib3,2019-04-19T16:55:10Z,15
urllib3,pypi,GHSA-www2-v7xj-xrc6,CVSS_V3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Exposure of Sensitive Information to an Unauthorized Actor in urllib3,2018-12-12T15:52:07Z,15
urllib3,pypi,GHSA-v4w5-p2hg-8fh6,CVSS_V3,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,Urllib3 Incorrect Certificate Validation,2022-05-17T03:05:04Z,15
black,pypi,PYSEC-2024-48,UNKNOWN,,"Versions of the package black before 24.3.0 are vulnerable to Regular Expression Denial of Service (ReDoS) via the lines_with_leading_tabs_expanded function in the strings.py file. An attacker could exploit this vulnerability by crafting a malicious input that causes a denial of service.Exploiting this vulnerability is possible when running Black on untrusted input, or if you habitually put thousands of leading tab characters in your docstrings.",2024-03-19T05:15:00Z,15
urllib3,pypi,PYSEC-2017-98,UNKNOWN,,"Versions 1.17 and 1.18 of the Python urllib3 library suffer from a vulnerability that can cause them, in certain configurations, to not correctly validate TLS certificates. This places users of the library with those configurations at risk of man-in-the-middle and information leakage attacks. This vulnerability affects users using versions 1.17 and 1.18 of the urllib3 library, who are using the optional PyOpenSSL support for TLS instead of the regular standard library TLS backend, and who are using OpenSSL 1.1.0 via PyOpenSSL. This is an extremely uncommon configuration, so the security impact of this vulnerability is low.",2017-01-11T16:59:00Z,15
urllib3,pypi,PYSEC-2018-32,UNKNOWN,,"urllib3 before version 1.23 does not remove the Authorization HTTP header when following a cross-origin redirect (i.e., a redirect that differs in host, port, or scheme). This can allow for credentials in the Authorization header to be exposed to unintended hosts or transmitted in cleartext.",2018-12-11T17:29:00Z,15
urllib3,pypi,PYSEC-2019-132,UNKNOWN,,"In the urllib3 library through 1.24.1 for Python, CRLF injection is possible if the attacker controls the request parameter.",2019-04-15T15:29:00Z,15
urllib3,pypi,PYSEC-2019-133,UNKNOWN,,"The urllib3 library before 1.24.2 for Python mishandles certain cases where the desired set of CA certificates is different from the OS store of CA certificates, which results in SSL connections succeeding in situations where a verification failure is the correct outcome. This is related to use of the ssl_context, ca_certs, or ca_certs_dir argument.",2019-04-18T21:29:00Z,15
urllib3,pypi,PYSEC-2020-148,UNKNOWN,,"urllib3 before 1.25.9 allows CRLF injection if the attacker controls the HTTP request method, as demonstrated by inserting CR and LF control characters in the first argument of putrequest(). NOTE: this is similar to CVE-2020-26116.",2020-09-30T18:15:00Z,15
urllib3,pypi,PYSEC-2020-149,UNKNOWN,,"The _encode_invalid_chars function in util/url.py in the urllib3 library 1.25.2 through 1.25.7 for Python allows a denial of service (CPU consumption) because of an inefficient algorithm. The percent_encodings array contains all matches of percent encodings. It is not deduplicated. For a URL of length N, the size of percent_encodings may be up to O(N). The next step (normalize existing percent-encoded bytes) also takes up to O(N) for each step, so the total time is O(N^2). If percent_encodings were deduplicated, the time to compute _encode_invalid_chars would be O(kN), where k is at most 484 ((10+6*2)^2).",2020-03-06T20:15:00Z,15
urllib3,pypi,PYSEC-2021-108,UNKNOWN,,"An issue was discovered in urllib3 before 1.26.5. When provided with a URL containing many @ characters in the authority component, the authority regular expression exhibits catastrophic backtracking, causing a denial of service if a URL were passed as a parameter or redirected to via an HTTP redirect.",2021-06-29T11:15:00Z,15
urllib3,pypi,PYSEC-2021-59,UNKNOWN,,The urllib3 library 1.26.x before 1.26.4 for Python omits SSL certificate validation in some cases involving HTTPS to HTTPS proxies. The initial connection to the HTTPS proxy (if an SSLContext isn't given via proxy_config) doesn't verify the hostname of the certificate. This means certificates for different servers that still validate properly with the default urllib3 SSLContext will be silently accepted.,2021-03-15T18:15:00Z,15
setuptools,pypi,GHSA-5rjg-fvgr-3xxf,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N/E:P,setuptools has a path traversal vulnerability in PackageIndex.download that leads to Arbitrary File Write,2025-05-19T16:52:43Z,11
setuptools,pypi,GHSA-cx63-2mw6-8hw5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,setuptools vulnerable to Command Injection via package URL,2024-07-15T03:30:57Z,11
idna,pypi,PYSEC-2024-60,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"A vulnerability was identified in the kjd/idna library, specifically within the `idna.encode()` function, affecting version 3.6. The issue arises from the function's handling of crafted input strings, which can lead to quadratic complexity and consequently, a denial of service condition. This vulnerability is triggered by a crafted input that causes the `idna.encode()` function to process the input with considerable computational load, significantly increasing the processing time in a quadratic manner relative to the input size.",2024-07-07T18:15:00Z,11
psutil,pypi,GHSA-qfc5-mcwq-26q8,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Double Free in psutil,2020-03-12T17:02:50Z,11
setuptools,pypi,GHSA-r9hx-vwmv-q579,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,pypa/setuptools vulnerable to Regular Expression Denial of Service (ReDoS),2022-12-23T00:30:23Z,11
PyYAML,pypi,GHSA-3pqx-4fqf-j49f,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Deserialization of Untrusted Data in PyYAML,2021-04-20T16:40:42Z,11
PyYAML,pypi,GHSA-6757-jp84-gxfx,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Improper Input Validation in PyYAML,2021-04-20T16:14:24Z,11
PyYAML,pypi,GHSA-8q59-q68h-6hv4,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Improper Input Validation in PyYAML,2021-03-25T21:26:26Z,11
PyYAML,pypi,GHSA-rprw-h62v-c2w7,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,PyYAML insecurely deserializes YAML strings leading to arbitrary code execution,2019-01-04T17:45:26Z,11
setuptools,pypi,PYSEC-2025-49,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"setuptools is a package that allows users to download, build, install, upgrade, and uninstall Python packages. A path traversal vulnerability in `PackageIndex` is present in setuptools prior to version 78.1.1. An attacker would be allowed to write files to arbitrary locations on the filesystem with the permissions of the process running the Python code, which could escalate to remote code execution depending on the context. Version 78.1.1 fixes the issue.",2025-05-17T16:15:19Z,11
setuptools,pypi,GHSA-27x4-j476-jp5f,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,Setuptools vulnerable to Man-in-the-middle attacks,2022-05-17T05:01:02Z,11
idna,pypi,GHSA-jjg7-2v4v-x38h,CVSS_V3,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Internationalized Domain Names in Applications (IDNA) vulnerable to denial of service from specially crafted inputs to idna.encode,2024-04-11T21:32:40Z,11
PyYAML,pypi,PYSEC-2018-49,UNKNOWN,,"In PyYAML before 5.1, the yaml.load() API could execute arbitrary code if used with untrusted data. The load() function has been deprecated in version 5.1 and the 'UnsafeLoader' has been introduced for backward compatibility with the function.",2018-06-27T12:29:00Z,11
PyYAML,pypi,PYSEC-2020-176,UNKNOWN,,"PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class deserialization issue, e.g., Popen is a class in the subprocess module. NOTE: this issue exists because of an incomplete fix for CVE-2017-18342.",2020-02-19T04:15:00Z,11
PyYAML,pypi,PYSEC-2020-96,UNKNOWN,,"A vulnerability was discovered in the PyYAML library in versions before 5.3.1, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. An attacker could use this flaw to execute arbitrary code on the system by abusing the python/object/new constructor.",2020-03-24T15:15:00Z,11
PyYAML,pypi,PYSEC-2021-142,UNKNOWN,,"A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by abusing the python/object/new constructor. This flaw is due to an incomplete fix for CVE-2020-1747.",2021-02-09T21:15:00Z,11
psutil,pypi,PYSEC-2019-41,UNKNOWN,,psutil (aka python-psutil) through 5.6.5 can have a double free. This occurs because of refcount mishandling within a while or for loop that converts system data into a Python object.,2019-11-12T02:15:00Z,11
